ID;Jahr des Wertzuwachses;Vorabpauschale vor TFS pro Anteil;Prozent Teilfreistellung
IE00BK5BQT80;2023;1.6235;30
IE00BK5BQT80;2024;1.7165;30
IE00BK5BQT80;2025;2.4029;30
IE00BKM4GZ66;2023;0.4793;30
IE00BKM4GZ66;2024;0.4609;30
IE00BKM4GZ66;2025;0.5933;30
LU1829221024;2019;0;30
LU1829221024;2020;0;30
LU1829221024;2021;0;30
LU1829221024;2022;0;30
LU1829221024;2023;0.7304;30
LU1829221024;2024;0.9841;30
LU1829221024;2025;1.4853;30
IE00BJ0KDQ92;2023;1.3404;30
IE00BJ0KDQ92;2024;1.4429;30
IE00BJ0KDQ92;2025;2.0189;30
IE00BF4RFH31;2023;0.1019;30
IE00BF4RFH31;2024;0.1014;30
IE00BF4RFH31;2025;0.1325;30
LU2903252349;2025;0.1764;30
IE00B3YLTY66;2025;4.1220;30
IE00B1YZSC51;2019;0,0632;30
IE00B1YZSC51;2023;0,4429;30
IE00B1YZSC51;2024;0,4512;30
IE00B1YZSC51;2025;0,5465;30
